img, img1, img2, ann
Dataset/Dataset/game4/Clip7/0177.jpg,Dataset/Dataset/game4/Clip7/0176.jpg,Dataset/Dataset/game4/Clip7/0175.jpg,Dataset/Dataset/game4/Clip7/groundtruth/Clip7/0177.png
Dataset/Dataset/game7/Clip5/0124.jpg,Dataset/Dataset/game7/Clip5/0123.jpg,Dataset/Dataset/game7/Clip5/0122.jpg,Dataset/Dataset/game7/Clip5/groundtruth/Clip5/0124.png
Dataset/Dataset/game1/Clip13/0040.jpg,Dataset/Dataset/game1/Clip13/0039.jpg,Dataset/Dataset/game1/Clip13/0038.jpg,Dataset/Dataset/game1/Clip13/groundtruth/Clip13/0040.png
Dataset/Dataset/game2/Clip6/0092.jpg,Dataset/Dataset/game2/Clip6/0091.jpg,Dataset/Dataset/game2/Clip6/0090.jpg,Dataset/Dataset/game2/Clip6/groundtruth/Clip6/0092.png
Dataset/Dataset/game2/Clip1/0099.jpg,Dataset/Dataset/game2/Clip1/0098.jpg,Dataset/Dataset/game2/Clip1/0097.jpg,Dataset/Dataset/game2/Clip1/groundtruth/Clip1/0099.png
Dataset/Dataset/game2/Clip6/0089.jpg,Dataset/Dataset/game2/Clip6/0088.jpg,Dataset/Dataset/game2/Clip6/0087.jpg,Dataset/Dataset/game2/Clip6/groundtruth/Clip6/0089.png
Dataset/Dataset/game4/Clip4/0009.jpg,Dataset/Dataset/game4/Clip4/0008.jpg,Dataset/Dataset/game4/Clip4/0007.jpg,Dataset/Dataset/game4/Clip4/groundtruth/Clip4/0009.png
Dataset/Dataset/game6/Clip1/0273.jpg,Dataset/Dataset/game6/Clip1/0272.jpg,Dataset/Dataset/game6/Clip1/0271.jpg,Dataset/Dataset/game6/Clip1/groundtruth/Clip1/0273.png
Dataset/Dataset/game4/Clip1/0480.jpg,Dataset/Dataset/game4/Clip1/0479.jpg,Dataset/Dataset/game4/Clip1/0478.jpg,Dataset/Dataset/game4/Clip1/groundtruth/Clip1/0480.png
Dataset/Dataset/game3/Clip3/0163.jpg,Dataset/Dataset/game3/Clip3/0162.jpg,Dataset/Dataset/game3/Clip3/0161.jpg,Dataset/Dataset/game3/Clip3/groundtruth/Clip3/0163.png
Dataset/Dataset/game6/Clip2/0165.jpg,Dataset/Dataset/game6/Clip2/0164.jpg,Dataset/Dataset/game6/Clip2/0163.jpg,Dataset/Dataset/game6/Clip2/groundtruth/Clip2/0165.png
Dataset/Dataset/game10/Clip1/0164.jpg,Dataset/Dataset/game10/Clip1/0163.jpg,Dataset/Dataset/game10/Clip1/0162.jpg,Dataset/Dataset/game10/Clip1/groundtruth/Clip1/0164.png
Dataset/Dataset/game10/Clip10/0081.jpg,Dataset/Dataset/game10/Clip10/0080.jpg,Dataset/Dataset/game10/Clip10/0079.jpg,Dataset/Dataset/game10/Clip10/groundtruth/Clip10/0081.png
Dataset/Dataset/game5/Clip10/0044.jpg,Dataset/Dataset/game5/Clip10/0043.jpg,Dataset/Dataset/game5/Clip10/0042.jpg,Dataset/Dataset/game5/Clip10/groundtruth/Clip10/0044.png
Dataset/Dataset/game4/Clip7/0478.jpg,Dataset/Dataset/game4/Clip7/0477.jpg,Dataset/Dataset/game4/Clip7/0476.jpg,Dataset/Dataset/game4/Clip7/groundtruth/Clip7/0478.png
Dataset/Dataset/game3/Clip7/0181.jpg,Dataset/Dataset/game3/Clip7/0180.jpg,Dataset/Dataset/game3/Clip7/0179.jpg,Dataset/Dataset/game3/Clip7/groundtruth/Clip7/0181.png
Dataset/Dataset/game10/Clip10/0029.jpg,Dataset/Dataset/game10/Clip10/0028.jpg,Dataset/Dataset/game10/Clip10/0027.jpg,Dataset/Dataset/game10/Clip10/groundtruth/Clip10/0029.png
Dataset/Dataset/game3/Clip5/0083.jpg,Dataset/Dataset/game3/Clip5/0082.jpg,Dataset/Dataset/game3/Clip5/0081.jpg,Dataset/Dataset/game3/Clip5/groundtruth/Clip5/0083.png
Dataset/Dataset/game3/Clip4/0104.jpg,Dataset/Dataset/game3/Clip4/0103.jpg,Dataset/Dataset/game3/Clip4/0102.jpg,Dataset/Dataset/game3/Clip4/groundtruth/Clip4/0104.png
Dataset/Dataset/game2/Clip2/0056.jpg,Dataset/Dataset/game2/Clip2/0055.jpg,Dataset/Dataset/game2/Clip2/0054.jpg,Dataset/Dataset/game2/Clip2/groundtruth/Clip2/0056.png
Dataset/Dataset/game10/Clip7/0041.jpg,Dataset/Dataset/game10/Clip7/0040.jpg,Dataset/Dataset/game10/Clip7/0039.jpg,Dataset/Dataset/game10/Clip7/groundtruth/Clip7/0041.png
Dataset/Dataset/game4/Clip2/0331.jpg,Dataset/Dataset/game4/Clip2/0330.jpg,Dataset/Dataset/game4/Clip2/0329.jpg,Dataset/Dataset/game4/Clip2/groundtruth/Clip2/0331.png
Dataset/Dataset/game8/Clip2/0010.jpg,Dataset/Dataset/game8/Clip2/0009.jpg,Dataset/Dataset/game8/Clip2/0008.jpg,Dataset/Dataset/game8/Clip2/groundtruth/Clip2/0010.png
Dataset/Dataset/game5/Clip1/0120.jpg,Dataset/Dataset/game5/Clip1/0119.jpg,Dataset/Dataset/game5/Clip1/0118.jpg,Dataset/Dataset/game5/Clip1/groundtruth/Clip1/0120.png
Dataset/Dataset/game5/Clip4/0065.jpg,Dataset/Dataset/game5/Clip4/0064.jpg,Dataset/Dataset/game5/Clip4/0063.jpg,Dataset/Dataset/game5/Clip4/groundtruth/Clip4/0065.png
Dataset/Dataset/game8/Clip7/0102.jpg,Dataset/Dataset/game8/Clip7/0101.jpg,Dataset/Dataset/game8/Clip7/0100.jpg,Dataset/Dataset/game8/Clip7/groundtruth/Clip7/0102.png
Dataset/Dataset/game7/Clip2/0143.jpg,Dataset/Dataset/game7/Clip2/0142.jpg,Dataset/Dataset/game7/Clip2/0141.jpg,Dataset/Dataset/game7/Clip2/groundtruth/Clip2/0143.png
Dataset/Dataset/game8/Clip3/0092.jpg,Dataset/Dataset/game8/Clip3/0091.jpg,Dataset/Dataset/game8/Clip3/0090.jpg,Dataset/Dataset/game8/Clip3/groundtruth/Clip3/0092.png
Dataset/Dataset/game2/Clip8/0028.jpg,Dataset/Dataset/game2/Clip8/0027.jpg,Dataset/Dataset/game2/Clip8/0026.jpg,Dataset/Dataset/game2/Clip8/groundtruth/Clip8/0028.png
